보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태
대명1동1,1,대구광역시 남구 현충로 155,대구광역시 남구 대명동 1722-4,35.84670316,128.5798033,2016.0,한전주
대명1동2,1,대구광역시 남구 현충로31길 10-1,대구광역시 남구 대명동 1723-11,35.84686294,128.579406,2016.0,한전주
대명1동3,1,대구광역시 남구 현충로31길 9-8,대구광역시 남구 대명동 1722-56,35.84634111,128.5793425,2017.0,건축물
대명1동4,2,대구광역시 남구 현충로31길 19-11,대구광역시 남구 대명동 1722-41,35.84636826,128.5789224,2016.0,한전주
대명1동5,1,대구광역시 남구 현충로29길 22-2,대구광역시 남구 대명동 1721-22,35.8459954,128.5788583,2016.0,한전주
대명1동6,1,대구광역시 남구 현충로29길 16-1,대구광역시 남구 대명동 1721-21,35.8459929,128.5790165,2016.0,한전주
대명1동7,1,대구광역시 남구 현충로29길 10-1,대구광역시 남구 대명동 1721-7,35.84602759,128.5793363,2016.0,한전주
대명1동8,1,대구광역시 남구 현충로 143,대구광역시 남구 대명동 1721-25,35.84598963,128.5797561,2016.0,한전주
대명1동9,1,대구광역시 남구 현충로29길 16-6,대구광역시 남구 대명동 1721-8,35.8462165,128.5791799,2016.0,전용주
대명1동10,1,대구광역시 남구 현충서길 28,대구광역시 남구 대명동 1718-5,35.84544509,128.5784039,2016.0,한전주
대명1동11,1,대구광역시 남구 현충서길 27,대구광역시 남구 대명동 1220-2,35.84534134,128.5780698,2016.0,한전주
대명1동12,1,대구광역시 남구 현충서길 25,대구광역시 남구 대명동 1220-4,35.84517191,128.5780708,2016.0,한전주
대명1동13,1,대구광역시 남구 현충로27길 27,대구광역시 남구 대명동 1716-1,35.84487281,128.5783394,2016.0,한전주
대명1동14,1,대구광역시 남구 현충로27길 23-2,대구광역시 남구 대명동 1716-2,35.84490297,128.5785126,2016.0,한전주
대명1동15,1,대구광역시 남구 현충로27길 17-1,대구광역시 남구 대명동 1716-5,35.84491006,128.5790706,2016.0,한전주
대명1동16,2,대구광역시 남구 현충로27길 16-10,대구광역시 남구 대명동 1717-5,35.84543003,128.5790012,2016.0,전용주
대명1동17,1,대구광역시 남구 두류공원로 6,대구광역시 남구 대명동 805-16,35.83966685,128.5762131,2016.0,한전주
대명1동18,1,대구광역시 남구 현충로27길 9-5,대구광역시 남구 대명동 1716-21,35.84482182,128.5794762,2016.0,한전주
대명1동19,1,대구광역시 남구 현충로25길 5,대구광역시 남구 대명동 1678-5,35.84394276,128.5797155,2016.0,한전주
대명1동20,1,대구광역시 남구 현충로25길 9,대구광역시 남구 대명동 1677-13,35.84396549,128.5793574,2016.0,한전주
대명1동21,1,대구광역시 남구 현충로25길 17,대구광역시 남구 대명동 1671-6,35.84394951,128.5789276,2016.0,한전주
대명1동22,1,대구광역시 남구 현충로27길 17-14,대구광역시 남구 대명동 1715-25,35.84437974,128.5788299,2016.0,한전주
대명1동23,1,대구광역시 남구 현충로27길 17-10,대구광역시 남구 대명동 1716-12,35.84464635,128.5788396,2016.0,한전주
대명1동24,1,대구광역시 남구 현충로25길 26-5,대구광역시 남구 대명동 1715-16,35.8443612,128.5783204,2016.0,한전주
대명1동25,1,대구광역시 남구 장전2길 103,대구광역시 남구 대명동 1670-5,35.84395573,128.578454,2016.0,한전주
대명1동26,1,대구광역시 남구 현충로25길 26-6,대구광역시 남구 대명동 1715-13,35.84439352,128.5786044,2016.0,한전주
대명1동27,1,대구광역시 남구 현충로25길 31,대구광역시 남구 대명동 1669-12,35.84395911,128.5782126,2016.0,한전주
대명1동28,1,대구광역시 남구 장전3길 161,대구광역시 남구 대명동 1663-16,35.84385129,128.5779172,2016.0,한전주
대명1동29,1,대구광역시 남구 현충로25길 43,대구광역시 남구 대명동 618-13,35.84401584,128.5774458,2016.0,한전주
대명1동30,1,대구광역시 남구 현충로25길 47,대구광역시 남구 대명동 619-20,35.84407663,128.577208,2016.0,한전주
대명1동31,1,대구광역시 남구 현충로25길 49,대구광역시 남구 대명동 619-4,35.84416137,128.5771037,2016.0,한전주
대명1동32,1,대구광역시 남구 현충로25길 55,대구광역시 남구 대명동 619-1,35.84426012,128.5766848,2016.0,한전주
대명1동33,1,대구광역시 남구 장전1길 83-1,대구광역시 남구 대명동 803-6,35.84071557,128.575955,2016.0,건축물
대명1동34,1,대구광역시 남구 현충로25길 63,대구광역시 남구 대명동 619-11,35.84455696,128.5765888,2016.0,한전주
대명1동35,1,대구광역시 남구 현충로25길 64-4,대구광역시 남구 대명동 1220-53,35.84473994,128.5769289,2017.0,건축물
대명1동36,1,대구광역시 남구 현충로25길 65,대구광역시 남구 대명동 619-3,35.8445583,128.576487,2016.0,한전주
대명1동37,1,대구광역시 남구 현충로25길 71,대구광역시 남구 대명동 629-1,35.8442232,128.5757159,2016.0,한전주
대명1동38,1,대구광역시 남구 현충로29길 43-6,대구광역시 남구 대명동 1220-88,35.8457304,128.5773724,2016.0,한전주
대명1동39,1,대구광역시 남구 현충로29길 37-5,대구광역시 남구 대명동 1220-39,35.8456358,128.5779026,2017.0,건축물
대명1동40,1,대구광역시 남구 현충서길 31,대구광역시 남구 대명동 1220-60,35.84554402,128.5780074,2016.0,한전주
대명1동41,1,대구광역시 남구 현충로25길 42-10,대구광역시 남구 대명동 1220-11,35.84451669,128.5777347,2016.0,한전주
대명1동42,1,대구광역시 남구 현충로25길 42-8,대구광역시 남구 대명동 1220-80,35.84438335,128.577732,2016.0,한전주
대명1동43,1,대구광역시 남구 현충로23길 8,대구광역시 남구 대명동 1677-25,35.84298355,128.5794707,2016.0,한전주
대명1동44,1,대구광역시 남구 장전1길 205,대구광역시 남구 대명동 1672-12,35.84295903,128.5791426,2016.0,한전주
대명1동45,1,대구광역시 남구 장전1길 210-1,대구광역시 남구 대명동 1677-19,35.84321593,128.5793425,2016.0,한전주
대명1동46,1,대구광역시 남구 장전1길 214,대구광역시 남구 대명동 1677-1,35.84333125,128.5793448,2016.0,한전주
대명1동47,1,대구광역시 남구 장전1길 218-1,대구광역시 남구 대명동 1677-15,35.84362675,128.5793506,2016.0,한전주
대명1동48,1,대구광역시 남구 현충로25길 9,대구광역시 남구 대명동 1677-13,35.84396549,128.5793574,2016.0,한전주
대명1동49,1,대구광역시 남구 장전2길 104,대구광역시 남구 대명동 1671-7,35.84395172,128.5787594,2016.0,한전주
대명1동50,1,대구광역시 남구 장전2길 98,대구광역시 남구 대명동 1671-12,35.8436886,128.5787586,2016.0,한전주
대명1동51,1,대구광역시 남구 장전2길 92,대구광역시 남구 대명동 1671-19,35.84342855,128.5788176,2016.0,한전주
대명1동52,1,대구광역시 남구 현충로23길 20,대구광역시 남구 대명동 1671-5,35.84302494,128.5788101,2016.0,한전주
대명1동53,1,대구광역시 남구 현충로 99,대구광역시 남구 대명동 1676-7,35.8416926,128.5796729,2016.0,한전주
대명1동54,1,대구광역시 남구 장전3길 78-4,대구광역시 남구 대명동 802-8,35.84072412,128.5763924,2016.0,건축물
대명1동55,1,대구광역시 남구 현충로19길 10,대구광역시 남구 대명동 1675-1,35.84159428,128.5793103,2016.0,한전주
대명1동56,1,대구광역시 남구 현충로19길 10,대구광역시 남구 대명동 1675-1,35.84159428,128.5793103,2016.0,한전주
대명1동57,1,대구광역시 남구 장전1길 180,대구광역시 남구 대명동 1675-18,35.84177452,128.5793095,2016.0,한전주
대명1동58,1,대구광역시 남구 장전1길 180,대구광역시 남구 대명동 1675-18,35.84177452,128.5793095,2016.0,한전주
대명1동59,1,대구광역시 남구 장전1길 197-2,대구광역시 남구 대명동 1674-16,35.84268189,128.5791106,2016.0,한전주
대명1동60,1,대구광역시 남구 현충서길 13,대구광역시 남구 대명동 1220-6,35.8448284,128.5780585,2016.0,한전주
대명1동61,1,대구광역시 남구 현충로23길 21,대구광역시 남구 대명동 1673-20,35.84278786,128.5787275,2016.0,한전주
대명1동62,1,대구광역시 남구 장전2길 74,대구광역시 남구 대명동 1673-22,35.8426291,128.5788415,2016.0,한전주
대명1동63,1,대구광역시 남구 현충로23길 20,대구광역시 남구 대명동 1673-18,35.8430267,128.5788101,2016.0,한전주
대명1동64,1,대구광역시 남구 장전2길 56-1,대구광역시 남구 대명동 1673-10,35.84186898,128.5787049,2016.0,한전주
대명1동65,1,대구광역시 남구 장전1길 177,대구광역시 남구 대명동 1674-14,35.84176819,128.5789685,2016.0,한전주
