,ID,요일,기상상태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연,월,일,시간,도시,구,동,도로형태1,도로형태2,설치개수,cnt,급지구분_1,급지구분_2,급지구분_3
0,ACCIDENT_00000,화요일,맑음,건조,차대사람,길가장자리구역통행중,안전운전불이행,승용,여,51세,상해없음,보행자,여,70세,중상,2019,1,1,0,대구광역시,중구,대신동,단일로,기타,391.0,2.0,11.0,0.0,0.0
1,ACCIDENT_00001,화요일,흐림,건조,차대사람,보도통행중,기타,승용,남,39세,상해없음,보행자,남,61세,경상,2019,1,1,0,대구광역시,달서구,감삼동,단일로,기타,932.0,,0.0,1.0,3.0
2,ACCIDENT_00002,화요일,맑음,건조,차대사람,차도통행중,안전운전불이행,승용,남,70세,상해없음,보행자,남,38세,경상,2019,1,1,1,대구광역시,수성구,두산동,단일로,기타,473.0,5.0,,,
3,ACCIDENT_00003,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,49세,상해없음,승용,남,36세,중상,2019,1,1,2,대구광역시,북구,복현동,단일로,기타,534.0,11.0,0.0,9.0,5.0
4,ACCIDENT_00004,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,30세,상해없음,승용,남,52세,경상,2019,1,1,4,대구광역시,동구,신암동,단일로,기타,2057.0,,0.0,1.0,0.0
5,ACCIDENT_00005,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승합,남,52세,상해없음,승용,남,35세,경상,2019,1,1,4,대구광역시,달서구,감삼동,단일로,기타,932.0,,0.0,1.0,3.0
6,ACCIDENT_00006,화요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,61세,경상,승용,남,76세,경상,2019,1,1,5,대구광역시,수성구,지산동,교차로,교차로안,,,,,
7,ACCIDENT_00007,화요일,흐림,건조,차대차,추돌,안전운전불이행,승용,남,68세,상해없음,승용,남,53세,경상,2019,1,1,6,대구광역시,달서구,상인동,단일로,기타,843.0,,0.0,0.0,5.0
8,ACCIDENT_00008,화요일,맑음,건조,차대차,기타,안전운전불이행,승용,남,49세,상해없음,자전거,남,62세,중상,2019,1,1,6,대구광역시,북구,태전동,기타,기타,306.0,13.0,0.0,14.0,1.0
9,ACCIDENT_00009,화요일,맑음,건조,차대차,기타,신호위반,승용,남,66세,상해없음,승용,여,42세,경상,2019,1,1,10,대구광역시,동구,지묘동,단일로,터널,169.0,,,,
10,ACCIDENT_00010,화요일,맑음,건조,차대차,측면충돌,기타,승용,남,62세,상해없음,승합,남,60세,중상,2019,1,1,11,대구광역시,서구,평리동,단일로,기타,,,,,
11,ACCIDENT_00011,화요일,맑음,건조,차대차,기타,안전운전불이행,기타불명,기타불명,미분류,기타불명,자전거,남,69세,경상,2019,1,1,14,대구광역시,동구,신기동,교차로,교차로안,239.0,,0.0,0.0,2.0
12,ACCIDENT_00012,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,화물,남,56세,상해없음,승용,여,31세,중상,2019,1,1,14,대구광역시,서구,상리동,단일로,지하차도(도로)내,,,,,
13,ACCIDENT_00013,화요일,맑음,건조,차대차,추돌,안전운전불이행,승용,여,64세,상해없음,승용,여,23세,상해없음,2019,1,1,18,대구광역시,달서구,월성동,단일로,기타,164.0,,0.0,1.0,0.0
14,ACCIDENT_00014,화요일,맑음,건조,차량단독,공작물충돌,안전운전불이행,승용,여,46세,중상,,,,,2019,1,1,19,대구광역시,수성구,황금동,단일로,교량,,,,,
15,ACCIDENT_00015,화요일,맑음,건조,차대사람,횡단중,신호위반,승용,남,74세,상해없음,보행자,남,57세,경상,2019,1,1,19,대구광역시,북구,구암동,교차로,교차로횡단보도내,273.0,10.0,0.0,0.0,7.0
16,ACCIDENT_00016,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,28세,상해없음,이륜,남,17세,경상,2019,1,1,20,대구광역시,동구,신천동,기타,기타,1032.0,,7.0,0.0,0.0
17,ACCIDENT_00017,화요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,72세,상해없음,이륜,남,17세,경상,2019,1,1,20,대구광역시,수성구,만촌동,단일로,기타,,,,,
18,ACCIDENT_00018,화요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,33세,상해없음,승용,남,69세,중상,2019,1,1,22,대구광역시,중구,남산동,교차로,교차로안,1474.0,9.0,12.0,0.0,0.0
19,ACCIDENT_00019,수요일,맑음,건조,차대차,측면충돌,안전운전불이행,이륜,남,27세,중상,승용,남,54세,상해없음,2019,1,2,1,대구광역시,서구,비산동,단일로,기타,,,,,
20,ACCIDENT_00020,수요일,맑음,건조,차대차,정면충돌,중앙선침범,승용,남,33세,중상,승용,남,55세,중상,2019,1,2,2,대구광역시,북구,침산동,단일로,기타,732.0,7.0,8.0,15.0,2.0
21,ACCIDENT_00021,수요일,맑음,건조,차대사람,기타,안전운전불이행,승용,여,50세,상해없음,보행자,여,52세,경상,2019,1,2,7,대구광역시,달서구,두류동,단일로,기타,1290.0,,0.0,3.0,3.0
22,ACCIDENT_00022,수요일,맑음,건조,차대차,추돌,안전운전불이행,이륜,남,33세,상해없음,승용,남,64세,경상,2019,1,2,8,대구광역시,서구,평리동,단일로,기타,,,,,
23,ACCIDENT_00023,수요일,맑음,건조,차대차,추돌,안전거리미확보,이륜,남,19세,경상,승용,여,41세,상해없음,2019,1,2,10,대구광역시,수성구,신매동,단일로,기타,,,,,
24,ACCIDENT_00024,수요일,맑음,건조,차대차,측면충돌,중앙선침범,승용,여,41세,상해없음,승용,남,44세,경상,2019,1,2,10,대구광역시,달서구,대곡동,단일로,기타,136.0,,,,
25,ACCIDENT_00025,수요일,맑음,건조,차대사람,횡단중,안전운전불이행,특수,남,46세,상해없음,보행자,남,58세,경상,2019,1,2,10,대구광역시,달성군,유가읍,주차장,주차장,454.0,6.0,0.0,0.0,2.0
26,ACCIDENT_00026,수요일,맑음,건조,차대사람,기타,안전운전불이행,승용,남,54세,상해없음,보행자,남,45세,경상,2019,1,2,11,대구광역시,달성군,논공읍,단일로,기타,1153.0,11.0,0.0,0.0,29.0
27,ACCIDENT_00027,수요일,맑음,건조,차대차,후진중충돌,안전운전불이행,승용,남,76세,상해없음,이륜,남,17세,부상신고,2019,1,2,13,대구광역시,동구,율하동,교차로,교차로안,407.0,,0.0,0.0,4.0
28,ACCIDENT_00028,수요일,맑음,건조,차대차,측면충돌,차로위반,자전거,남,52세,경상,화물,남,30세,상해없음,2019,1,2,13,대구광역시,수성구,만촌동,교차로,교차로부근,,,,,
29,ACCIDENT_00029,수요일,맑음,건조,차대차,기타,교차로운행방법위반,승용,여,35세,상해없음,개인형이동수단(PM),남,59세,중상,2019,1,2,13,대구광역시,수성구,시지동,교차로,교차로안,,,,,
30,ACCIDENT_00030,수요일,맑음,건조,차대차,측면충돌,안전운전불이행,이륜,남,25세,부상신고,승용,여,57세,상해없음,2019,1,2,14,대구광역시,동구,봉무동,기타,기타,137.0,,,,
31,ACCIDENT_00031,수요일,맑음,건조,차대차,측면충돌,안전거리미확보,승용,남,62세,상해없음,화물,남,70세,경상,2019,1,2,14,대구광역시,동구,율하동,단일로,기타,407.0,,0.0,0.0,4.0
32,ACCIDENT_00032,수요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,여,60세,상해없음,승용,여,34세,경상,2019,1,2,14,대구광역시,달서구,상인동,교차로,교차로안,843.0,,0.0,0.0,5.0
33,ACCIDENT_00033,수요일,맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,남,33세,상해없음,보행자,남,76세,중상,2019,1,2,14,대구광역시,달성군,다사읍,교차로,교차로횡단보도내,876.0,30.0,0.0,0.0,2.0
34,ACCIDENT_00034,수요일,맑음,건조,차대차,측면충돌,차로위반,승용,남,85세,상해없음,승용,남,36세,경상,2019,1,2,14,대구광역시,중구,동산동,단일로,기타,134.0,1.0,4.0,0.0,0.0
35,ACCIDENT_00035,수요일,맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,남,52세,상해없음,승용,남,59세,경상,2019,1,2,14,대구광역시,달서구,두류동,교차로,교차로안,1290.0,,0.0,3.0,3.0
36,ACCIDENT_00036,수요일,맑음,건조,차대차,측면충돌,안전거리미확보,승용,여,54세,상해없음,승용,여,42세,경상,2019,1,2,15,대구광역시,달서구,대곡동,단일로,기타,136.0,,,,
37,ACCIDENT_00037,수요일,맑음,건조,차대차,측면충돌,차로위반,승용,여,60세,부상신고,승용,남,68세,경상,2019,1,2,15,대구광역시,서구,평리동,교차로,교차로부근,,,,,
38,ACCIDENT_00038,수요일,맑음,건조,차대차,측면충돌,안전거리미확보,기타불명,기타불명,미분류,기타불명,승용,남,32세,부상신고,2019,1,2,15,대구광역시,서구,이현동,단일로,기타,,,,,
39,ACCIDENT_00039,수요일,맑음,건조,차대사람,기타,안전운전불이행,이륜,남,20세,상해없음,보행자,남,76세,경상,2019,1,2,16,대구광역시,달서구,두류동,교차로,교차로부근,1290.0,,0.0,3.0,3.0
40,ACCIDENT_00040,수요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,66세,상해없음,승용,남,61세,경상,2019,1,2,17,대구광역시,남구,이천동,교차로,교차로안,556.0,6.0,3.0,0.0,0.0
41,ACCIDENT_00041,수요일,맑음,건조,차대차,기타,안전운전불이행,승용,남,21세,상해없음,이륜,남,21세,부상신고,2019,1,2,17,대구광역시,달성군,유가읍,교차로,교차로부근,454.0,6.0,0.0,0.0,2.0
42,ACCIDENT_00042,수요일,맑음,건조,차대차,측면충돌,안전거리미확보,승용,남,60세,상해없음,이륜,남,52세,경상,2019,1,2,18,대구광역시,수성구,수성동4가,단일로,기타,,,,,
43,ACCIDENT_00043,수요일,맑음,건조,차대차,기타,안전거리미확보,승용,여,46세,경상,화물,여,56세,경상,2019,1,2,18,대구광역시,북구,노원동3가,단일로,기타,671.0,,0.0,15.0,14.0
44,ACCIDENT_00044,수요일,맑음,건조,차대차,추돌,안전거리미확보,화물,남,67세,경상,승용,여,23세,경상,2019,1,2,18,대구광역시,서구,비산동,단일로,기타,,,,,
45,ACCIDENT_00045,수요일,맑음,건조,차대차,기타,안전운전불이행,승용,남,56세,상해없음,이륜,남,18세,경상,2019,1,2,18,대구광역시,북구,서변동,단일로,기타,237.0,5.0,0.0,0.0,3.0
46,ACCIDENT_00046,수요일,맑음,건조,차대차,기타,안전운전불이행,화물,남,59세,상해없음,승용,남,37세,경상,2019,1,2,18,대구광역시,북구,관음동,단일로,기타,217.0,5.0,0.0,14.0,1.0
47,ACCIDENT_00047,수요일,맑음,건조,차대차,기타,안전운전불이행,승용,여,54세,상해없음,자전거,남,58세,중상,2019,1,2,18,대구광역시,북구,학정동,교차로,교차로부근,121.0,7.0,,,
48,ACCIDENT_00048,수요일,맑음,건조,차대차,추돌,안전거리미확보,승용,여,40세,부상신고,승용,여,42세,경상,2019,1,2,19,대구광역시,수성구,파동,단일로,기타,768.0,5.0,,,
49,ACCIDENT_00049,수요일,맑음,건조,차대차,기타,안전운전불이행,승용,남,51세,상해없음,자전거,남,39세,부상신고,2019,1,2,19,대구광역시,달성군,논공읍,단일로,기타,1153.0,11.0,0.0,0.0,29.0
50,ACCIDENT_00050,수요일,맑음,건조,차대차,기타,안전거리미확보,승용,여,56세,경상,승용,여,35세,경상,2019,1,2,19,대구광역시,달서구,감삼동,단일로,기타,932.0,,0.0,1.0,3.0
51,ACCIDENT_00051,수요일,맑음,건조,차대차,추돌,안전운전불이행,화물,남,70세,기타불명,승용,여,59세,경상,2019,1,2,20,대구광역시,수성구,상동,단일로,기타,700.0,5.0,,,
52,ACCIDENT_00052,수요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,30세,상해없음,승용,남,52세,중상,2019,1,2,22,대구광역시,달서구,이곡동,교차로,교차로안,404.0,,0.0,1.0,1.0
53,ACCIDENT_00053,수요일,맑음,건조,차량단독,공작물충돌,안전운전불이행,승용,남,62세,경상,,,,,2019,1,2,23,대구광역시,북구,서변동,교차로,교차로부근,237.0,5.0,0.0,0.0,3.0
54,ACCIDENT_00054,목요일,맑음,건조,차대차,기타,안전운전불이행,원동기,남,25세,경상,승용,남,62세,상해없음,2019,1,3,0,대구광역시,동구,효목동,단일로,기타,1164.0,,,,
55,ACCIDENT_00055,목요일,맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,여,65세,상해없음,이륜,남,27세,경상,2019,1,3,2,대구광역시,북구,읍내동,교차로,교차로안,369.0,13.0,0.0,13.0,2.0
56,ACCIDENT_00056,목요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,68세,상해없음,승용,남,35세,경상,2019,1,3,3,대구광역시,중구,남성로,교차로,교차로안,23.0,,2.0,0.0,0.0
57,ACCIDENT_00057,목요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,47세,부상신고,승용,남,65세,중상,2019,1,3,5,대구광역시,북구,노원동3가,교차로,교차로안,671.0,,0.0,15.0,14.0
58,ACCIDENT_00058,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,화물,남,48세,상해없음,승용,남,41세,경상,2019,1,3,7,대구광역시,달서구,죽전동,기타,기타,399.0,,0.0,3.0,1.0
59,ACCIDENT_00059,목요일,맑음,건조,차대차,측면충돌,차로위반,승용,남,60세,상해없음,승용,남,43세,경상,2019,1,3,8,대구광역시,수성구,만촌동,단일로,기타,,,,,
60,ACCIDENT_00060,목요일,맑음,건조,차대차,기타,안전운전불이행,자전거,남,43세,부상신고,화물,남,42세,상해없음,2019,1,3,8,대구광역시,북구,복현동,단일로,기타,534.0,11.0,0.0,9.0,5.0
61,ACCIDENT_00061,목요일,맑음,건조,차대사람,횡단중,신호위반,이륜,남,47세,상해없음,보행자,여,12세,경상,2019,1,3,10,대구광역시,달서구,월성동,교차로,교차로횡단보도내,164.0,,0.0,1.0,0.0
62,ACCIDENT_00062,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,70세,상해없음,승용,여,30세,경상,2019,1,3,11,대구광역시,남구,대명동,기타,기타,5377.0,26.0,20.0,1.0,0.0
63,ACCIDENT_00063,목요일,맑음,건조,차대차,기타,안전운전불이행,승용,여,51세,상해없음,자전거,여,55세,중상,2019,1,3,11,대구광역시,북구,동천동,교차로,교차로안,70.0,7.0,0.0,0.0,7.0
64,ACCIDENT_00064,목요일,맑음,건조,차대사람,기타,안전운전불이행,승용,여,58세,상해없음,보행자,남,60세,부상신고,2019,1,3,12,대구광역시,동구,지저동,교차로,교차로부근,420.0,,0.0,0.0,3.0
65,ACCIDENT_00065,목요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,남,46세,상해없음,승용,남,59세,경상,2019,1,3,12,대구광역시,동구,신암동,교차로,교차로안,2057.0,,0.0,1.0,0.0
66,ACCIDENT_00066,목요일,맑음,건조,차대사람,횡단중,과속,화물,남,21세,상해없음,보행자,여,75세,중상,2019,1,3,12,대구광역시,북구,노원동3가,단일로,기타,671.0,,0.0,15.0,14.0
67,ACCIDENT_00067,목요일,맑음,건조,차대차,측면충돌,안전거리미확보,승용,남,60세,경상,승용,여,32세,경상,2019,1,3,12,대구광역시,남구,대명동,단일로,기타,5377.0,26.0,20.0,1.0,0.0
68,ACCIDENT_00068,목요일,맑음,건조,차대사람,기타,안전운전불이행,승합,남,59세,상해없음,보행자,남,4세,경상,2019,1,3,13,대구광역시,북구,사수동,단일로,기타,,,,,
69,ACCIDENT_00069,목요일,맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,여,31세,상해없음,보행자,남,42세,중상,2019,1,3,14,대구광역시,달서구,월성동,교차로,교차로안,164.0,,0.0,1.0,0.0
70,ACCIDENT_00070,목요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,44세,상해없음,승용,남,58세,경상,2019,1,3,14,대구광역시,달서구,월성동,교차로,교차로부근,164.0,,0.0,1.0,0.0
71,ACCIDENT_00071,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,화물,남,53세,상해없음,자전거,남,71세,중상,2019,1,3,14,대구광역시,서구,비산동,교차로,교차로부근,,,,,
72,ACCIDENT_00072,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,32세,상해없음,이륜,남,36세,경상,2019,1,3,15,대구광역시,남구,대명동,단일로,기타,5377.0,26.0,20.0,1.0,0.0
73,ACCIDENT_00073,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,남,41세,경상,승합,남,40세,중상,2019,1,3,17,대구광역시,달성군,논공읍,교차로,교차로안,1153.0,11.0,0.0,0.0,29.0
74,ACCIDENT_00074,목요일,맑음,건조,차대차,추돌,안전거리미확보,승용,남,37세,상해없음,승용,남,39세,경상,2019,1,3,17,대구광역시,북구,노원동3가,단일로,기타,671.0,,0.0,15.0,14.0
75,ACCIDENT_00075,목요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,66세,상해없음,화물,남,48세,경상,2019,1,3,17,대구광역시,북구,침산동,단일로,기타,732.0,7.0,8.0,15.0,2.0
76,ACCIDENT_00076,목요일,맑음,건조,차대사람,기타,보행자보호의무위반,이륜,남,22세,상해없음,보행자,남,23세,경상,2019,1,3,18,대구광역시,중구,덕산동,단일로,기타,13.0,1.0,,,
77,ACCIDENT_00077,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,승용,여,52세,상해없음,자전거,남,14세,경상,2019,1,3,18,대구광역시,달서구,본리동,기타,기타,258.0,,0.0,3.0,1.0
78,ACCIDENT_00078,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,자전거,남,24세,상해없음,사륜오토바이(ATV),남,19세,경상,2019,1,3,18,대구광역시,달서구,본리동,단일로,기타,258.0,,0.0,3.0,1.0
79,ACCIDENT_00079,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,화물,남,59세,상해없음,자전거,남,58세,부상신고,2019,1,3,19,대구광역시,동구,용계동,단일로,기타,352.0,,,,
80,ACCIDENT_00080,목요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,여,31세,부상신고,승용,남,57세,상해없음,2019,1,3,19,대구광역시,동구,효목동,교차로,교차로안,1164.0,,,,
81,ACCIDENT_00081,목요일,맑음,건조,차대사람,기타,기타,자전거,남,52세,상해없음,보행자,남,53세,경상,2019,1,3,19,대구광역시,동구,신천동,단일로,기타,1032.0,,7.0,0.0,0.0
82,ACCIDENT_00082,목요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,66세,상해없음,승용,남,71세,경상,2019,1,3,20,대구광역시,수성구,범어동,교차로,교차로안,,,,,
83,ACCIDENT_00083,목요일,맑음,건조,차대차,측면충돌,안전운전불이행,기타불명,남,미분류,기타불명,자전거,남,66세,중상,2019,1,3,20,대구광역시,북구,태전동,단일로,기타,306.0,13.0,0.0,14.0,1.0
84,ACCIDENT_00084,목요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,34세,상해없음,승용,여,59세,중상,2019,1,3,21,대구광역시,달서구,신당동,교차로,교차로안,528.0,,0.0,3.0,3.0
85,ACCIDENT_00085,목요일,맑음,건조,차대차,추돌,안전운전불이행,승용,여,33세,상해없음,승용,남,52세,상해없음,2019,1,3,21,대구광역시,달서구,성당동,단일로,기타,46.0,,0.0,1.0,2.0
86,ACCIDENT_00086,목요일,맑음,건조,차대차,추돌,안전거리미확보,승용,남,35세,상해없음,화물,남,69세,경상,2019,1,3,22,대구광역시,서구,평리동,단일로,기타,,,,,
87,ACCIDENT_00087,목요일,맑음,건조,차대차,측면충돌,직진우회전진행방해,이륜,남,20세,경상,승용,남,63세,경상,2019,1,3,23,대구광역시,남구,대명동,교차로,교차로안,5377.0,26.0,20.0,1.0,0.0
88,ACCIDENT_00088,금요일,맑음,건조,차대차,측면충돌,불법유턴,승용,남,26세,상해없음,이륜,남,48세,중상,2019,1,4,0,대구광역시,달서구,용산동,교차로,교차로부근,480.0,,0.0,2.0,2.0
89,ACCIDENT_00089,금요일,맑음,건조,차대차,측면충돌,신호위반,승용,남,53세,상해없음,승용,남,60세,경상,2019,1,4,1,대구광역시,서구,비산동,교차로,교차로안,,,,,
90,ACCIDENT_00090,금요일,맑음,건조,차대차,추돌,안전운전불이행,승용,남,19세,상해없음,승용,남,71세,경상,2019,1,4,4,대구광역시,중구,대신동,교차로,교차로부근,391.0,2.0,11.0,0.0,0.0
91,ACCIDENT_00091,금요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승합,남,62세,상해없음,승용,남,50세,중상,2019,1,4,5,대구광역시,서구,평리동,교차로,교차로부근,,,,,
92,ACCIDENT_00092,금요일,맑음,건조,차대사람,횡단중,신호위반,승용,남,75세,상해없음,보행자,여,30세,중상,2019,1,4,5,대구광역시,중구,태평로3가,교차로,교차로횡단보도내,47.0,,1.0,0.0,0.0
93,ACCIDENT_00093,금요일,맑음,건조,차대차,측면충돌,안전운전불이행,자전거,남,35세,부상신고,승용,남,60세,상해없음,2019,1,4,6,대구광역시,서구,비산동,단일로,기타,,,,,
94,ACCIDENT_00094,금요일,맑음,건조,차대차,기타,안전거리미확보,승용,남,20세,상해없음,승용,남,45세,중상,2019,1,4,6,대구광역시,달서구,이곡동,단일로,기타,404.0,,0.0,1.0,1.0
95,ACCIDENT_00095,금요일,맑음,건조,차대사람,횡단중,안전운전불이행,화물,남,26세,상해없음,보행자,여,57세,사망,2019,1,4,7,대구광역시,달서구,이곡동,단일로,기타,404.0,,0.0,1.0,1.0
96,ACCIDENT_00096,금요일,맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,남,49세,상해없음,승용,남,20세,부상신고,2019,1,4,8,대구광역시,달서구,대곡동,교차로,교차로부근,136.0,,,,
97,ACCIDENT_00097,금요일,맑음,건조,차대차,측면충돌,신호위반,화물,남,51세,상해없음,승용,남,31세,경상,2019,1,4,10,대구광역시,달서구,이곡동,교차로,교차로안,404.0,,0.0,1.0,1.0
98,ACCIDENT_00098,금요일,맑음,건조,차대차,측면충돌,안전운전불이행,이륜,남,21세,부상신고,승용,남,62세,상해없음,2019,1,4,11,대구광역시,동구,용계동,교차로,교차로부근,352.0,,,,
99,ACCIDENT_00099,금요일,맑음,건조,차대차,측면충돌,직진우회전진행방해,자전거,남,52세,경상,승용,여,34세,상해없음,2019,1,4,11,대구광역시,북구,침산동,교차로,교차로안,732.0,7.0,8.0,15.0,2.0
